lat,lon,alt,tol
47.518037003474056,12.453147691408763,2210,50
47.51838374563482,12.452573426216475,2210.0,50
47.51873048779556,12.451999157229098,2210.0,50
47.51907722995628,12.45142488444653,2210.0,50
47.51942397211699,12.45085060786867,2210.0,50
47.519770714277676,12.450276327495416,2210.0,50
47.52011745643835,12.44970204332677,2210.0,50
47.52046419859901,12.449127755362627,2210.0,50
47.520810940759645,12.448553463602885,2210.0,50
47.521157682920254,12.447979168047546,2210.0,50
47.521504425080856,12.447404868696507,2210.0,50
47.521846604863214,12.446838122219257,2247.5,112
47.52218878464554,12.446271372045437,2285.0,175
47.52253096442788,12.445704618174949,2322.5,238
47.52287314421018,12.445137860607687,2360.0,300
47.52321532399247,12.444571099343555,2397.5,362
47.523557503774725,12.444004334382548,2435.0,425
47.523899683556984,12.443437565724567,2472.5,488
47.52424186333921,12.44287079336961,2510.0,550
